"code","id","meaning"
107,1,"F"
107,2,"FL"
107,3,"LFL"
107,4,"Q"
107,5,"VQ"
107,6,"UQ"
107,7,"ISO"
107,8,"OC"
107,9,"IQ"
107,10,"IVQ"
107,11,"IUQ"
107,12,"MO"
107,13,"fixed / flash"
107,14,"flash / long-flash"
107,15,"occulting / flash"
107,16,"fixed / long-flash"
107,17,"OC AL"
107,18,"LFL AL"
107,19,"FL AL"
107,20,"GP AL"
107,21,"F [vertical]"
107,25,"quick-flash plus long-flash"
107,26,"very quick-flash plus long-flash"
107,27,"ultra quick-flash plus long-flash"
107,28,"AL"
107,29,"fixed and alternating flashing"
