LAYER,MAXSCDENOM
poly-LNDARE,50000
poly-LAKARE,50000
poly-BUAARE,50000
poly-DEPARE,50000
line-COALNE,50000
poly-RIVERS,50000
line-RIVERS,50000
poly-CANALS,50000
line-CANALS,50000
point-LNDARE,50000
line-DEPCNT,50000
poly-SLCONS,50000
line-SLCONS,50000
poly-BRIDGE,50000
line-BRIDGE,50000
line-ROADWY,50000
poly-MIPARE-U,50000
line-MIPARE,50000
poly-RESARE-U,50000
line-RESARE,50000
line-RECTRC,50000
point-LNDRGN,50000
point-SEAARE,50000
line-CBLSUB,50000
line-PIPSOL,50000
line_WRECKS,50000
point-WRECKS-FIG,50000
point-UWTROC-FIG,50000
point-SOUNDG-FIG,50000
point-LNDMRK,50000
point-BCNSPP,50000
point-BOYSPP,50000
point-BOYLAT,50000
point-BOYCAR,50000
point-BOYSAW,50000
point-BOYISD,50000
point-LIGHTS,50000
point-LIGHTS_3857_line,50000
poly-ISTZNE,50000
poly-TSSRON,50000
line-TSELNE,50000
line-TSSLPT,50000
poly-TSSLPT,50000
