NODTA,7 7 7,#070707
CURSR,52 28 12,#341C0C
CHBLK,31 34 35,#1F2223
CHGRD,31 34 35,#1F2223
CHGRF,16 18 18,#101212
CHRED,59 17 10,#3B110A
CHGRN,22 34 7,#162207
CHYLW,41 33 10,#29210A
CHMGD,52 18 52,#341234
CHMGF,52 18 52,#341234
CHBRN,15 13 5,#0F0D05
CHWHT,37 41 41,#252929
SCLBR,52 28 12,#341C0C
CHCOR,52 28 12,#341C0C
LITRD,59 17 10,#3B110A
LITGN,22 34 7,#162207
LITYW,41 33 10,#29210A
ISDNG,52 18 52,#341234
DNGHL,59 17 10,#3B110A
TRFCD,58 20 58,#3A143A
TRFCF,52 18 52,#341234
LANDA,13 10 8,#0D0A08
LANDF,23 17 5,#171105
CSTLN,37 41 41,#252929
SNDG1,31 34 35,#1F2223
SNDG2,43 48 48,#2B3030
DEPSC,37 41 41,#252929
DEPCN,31 34 35,#1F2223
DEPDW,7 7 7,#070707
DEPMD,7 7 7,#070707
DEPMS,3 4 19,#030413
DEPVS,3 4 19,#030413
DEPIT,8 11 9,#080B09
RADHI,22 34 7,#162207
RADLO,10 16 3,#0A1003
ARPAT,12 31 21,#0C1F15
NINFO,52 28 12,#341C0C
RESBL,21 29 69,#151D45
ADINF,41 33 10,#29210A
RESGR,16 18 18,#101212
SHIPS,37 41 41,#252929
PSTRK,37 41 41,#252929
SYTRK,31 34 35,#1F2223
PLRTE,66 19 11,#42130B
APLRT,52 28 12,#341C0C
UINFD,43 48 48,#2B3030
UINFF,31 34 35,#1F2223
UIBCK,7 7 7,#070707
UIAFD,3 4 19,#030413
UINFR,59 17 10,#3B110A
UINFG,22 34 7,#162207
UINFO,52 28 12,#341C0C
UINFB,21 29 69,#151D45
UINFM,52 18 52,#341234
UIBDR,31 34 35,#1F2223
UIAFF,13 10 8,#0D0A08
OUTLW,7 7 7,#070707
OUTLL,13 10 8,#0D0A08
RES01,7 7 7,#070707
RES02,7 7 7,#070707
RES03,7 7 7,#070707
BKAJ1,7 7 7,#070707
BKAJ2,7 8 8,#070808
