LAYER,GROUP
poly-NE_LNDARE,base
poly-LNDARE,base
poly-NE_DEPARE,base
poly-DEPARE,base
poly-DRGARE,base
poly-FLODOC,base
poly-PONTON,base
poly-UNSARE,base
poly-HULKES,base
poly-LAKARE,base
poly-BUAARE,base
line-NE_COALNE,base
line-NE_LNDLNE,base
line-COALNE,base
poly-RIVERS,base
line-RIVERS,base
poly-CANALS,base
line-CANALS,base
point-LNDARE,base
line-ROADWY,base
line-DEPCNT,base
poly-SLCONS,base
line-SLCONS,base
poly-BRIDGE,base
line-BRIDGE,base
poly-MIPARE-U,restr
line-MIPARE,restr
poly-RESARE-U,restr
line-RESARE,restr
poly-NE_LNDRGN,text
point-LNDRGN,text
point-SEAARE,text
point-SBDARE,text
line-CBLSUB,cables
line-PIPSOL,cables
point-SOUNDG,depth
line-WRECKS,nav
point-WRECKS,nav
point-UWTROC,nav
point-LNDMRK,nav
point-BCNSPP,nav
point-BOYSPP,nav
point-BOYLAT,nav
point-BOYCAR,nav
point-BOYSAW,nav
point-BOYISD,nav
point-LIGHTS,nav
line-RECTRC,traffic
poly-ISTZNE,traffic
poly-TSSRON,traffic
line-TSELNE,traffic
line-TSSLPT,traffic
poly-TSSLPT,traffic
