LAYER,MAXSCDENOM
poly-LNDARE,150000
poly-LAKARE,150000
poly-BUAARE,150000
poly-DEPARE,150000
line-COALNE,150000
poly-RIVERS,150000
line-RIVERS,150000
poly-CANALS,150000
line-CANALS,150000
point-LNDARE,150000
line-DEPCNT,150000
poly-SLCONS,150000
line-SLCONS,150000
poly-BRIDGE,150000
line-BRIDGE,150000
line-ROADWY,150000
poly-MIPARE-U,150000
line-MIPARE,150000
poly-RESARE-U,150000
line-RESARE,150000
line-RECTRC,150000
point-LNDRGN,150000
point-SEAARE,150000
line-CBLSUB,150000
line-PIPSOL,150000
line_WRECKS,150000
point-WRECKS-FIG,150000
point-UWTROC-FIG,150000
point-SOUNDG-FIG,150000
point-LNDMRK,150000
point-BCNSPP,150000
point-BOYSPP,150000
point-BOYLAT,150000
point-BOYCAR,150000
point-BOYSAW,150000
point-BOYISD,150000
point-LIGHTS,150000
point-LIGHTS_3857_line,150000
poly-ISTZNE,150000
poly-TSSRON,150000
line-TSELNE,150000
line-TSSLPT,150000
poly-TSSLPT,150000
